English,Dutch,French,Polish,Russian,Spanish,Swedish
a,aan,alors,ach,а,un,aderton
able,af,au,aj,е,una,adertonde
about,al,aucuns,albo,и,unas,adjö
above,als,aussi,bardzo,ж,unos,aldrig
according,bij,autre,bez,м,uno,alla
accordingly,dan,avant,bo,о,sobre,allas
across,dat,avec,być,на,todo,allt
actually,die,avoir,ci,не,también,alltid
after,dit,bon,cię,ни,tras,alltså
afterwards,een,car,ciebie,об,otro,än
again,en,ce,co,но,algún,andra
against,er,cela,czy,он,alguno,andras
ain't,had,ces,daleko,мне,alguna,annan
all,heb,ceux,dla,мои,algunos,annat
allow,hem,chaque,dlaczego,мож,algunas,ännu
allows,het,ci,dlatego,она,ser,artonde
almost,hij,comme,do,они,es,artonn
alone,hoe,comment,dobrze,оно,soy,åtminstone
along,hun,dans,dokąd,мной,eres,att
already,ik,des,dość,много,somos,åtta
also,in,du,dużo,многочисленное,sois,åttio
although,is,dedans,dwa,многочисленная,estoy,åttionde
always,je,dehors,dwaj,многочисленные,esta,åttonde
am,kan,depuis,dwie,многочисленный,estamos,av
among,me,devrait,dwoje,мною,estais,även
amongst,men,doit,dziś,мой,estan,båda
an,met,donc,dzisiaj,мог,como,bådas
and,mij,dos,gdyby,могут,en,bakom
another,nog,début,gdzie,можно,para,bara
any,nu,elle,go,может,atras,bäst
anybody,of,elles,ich,можхо,porque,bättre
anyhow,ons,en,ile,мор,por qué,behöva
anyone,ook,encore,im,моя,estado,behövas
anything,te,essai,inny,моё,estaba,behövde
anyway,tot,est,ja,мочь,ante,behövt
anyways,uit,et,ją,над,antes,beslut
anywhere,van,eu,jak,нее,siendo,beslutat
apart,was,fait,jakby,оба,ambos,beslutit
appear,wat,faites,jaki,нам,pero,bland
appreciate,we,fois,je,нем,por,blev
appropriate,wel,font,jeden,нами,poder,bli
are,wij,hors,jedna,ними,puede,blir
aren't,zal,ici,jedno,мимо,puedo,blivit
around,ze,il,jego,немного,podemos,bort
as,zei,ils,jej,одной,podeis,borta
aside,zij,je,jemu,одного,pueden,bra
ask,zo,juste,jeśli,менее,fui,då
asking,zou,la,jest,однажды,fue,dag
associated,,le,jestem,однако,fuimos,dagar
at,,les,jeżeli,меня,fueron,dagarna
available,,leur,już,нему,hacer,dagen
away,,là,każdy,меньше,hago,där
awfully,,ma,kiedy,ней,hace,därför
be,,maintenant,kierunku,наверху,hacemos,de
became,,mais,kto,него,haceis,del
because,,mes,ku,ниже,hacen,delen
become,,mine,lub,мало,cada,dem
becomes,,moins,ma,надо,fin,den
becoming,,mon,mają,один,incluso,deras
been,,mot,mam,одиннадцать,primero,dess
before,,même,mi,одиннадцатый,desde,det
beforehand,,ni,mną,назад,conseguir,detta
behind,,nommés,mnie,наиболее,consigo,dig
being,,notre,moi,недавно,consigue,din
believe,,nous,mój,миллионов,consigues,dina
below,,ou,moja,недалеко,conseguimos,dit
beside,,où,moje,между,consiguen,ditt
besides,,par,może,низко,ir,dock
best,,parce,mu,меля,voy,du
better,,pas,my,нельзя,va,efter
between,,peut,na,нибудь,vamos,eftersom
beyond,,peu,nam,непрерывно,vais,elfte
both,,plupart,nami,наконец,van,eller
brief,,pour,nas,никогда,vaya,elva
but,,pourquoi,nasi,никуда,gueno,en
by,,quand,nasz,нас,ha,enkel
c'mon,,que,nasza,наш,tener,enkelt
c's,,quel,nasze,нет,tengo,enkla
came,,quelle,natychmiast,нею,tiene,enligt
can,,quelles,nią,неё,tenemos,er
can't,,quels,nic,них,teneis,era
cannot,,qui,nich,мира,tienen,ert
cant,,sa,nie,наша,el,ett
cause,,sans,niego,наше,la,ettusen
causes,,ses,niej,наши,lo,få 
certain,,seulement,niemu,ничего,las,fanns
certainly,,si,nigdy,начала,los,får
changes,,sien,nim,нередко,su,fått 
clearly,,son,nimi,несколько,aqui,fem
co,,sont,niż,обычно,mio,femte
com,,sous,obok,опять,tuyo,femtio
come,,soyez,od,около,ellos,femtionde
comes,,sujet,około,мы,ellas,femton
concerning,,sur,on,ну,nos,femtonde
consequently,,ta,ona,нх,nosotros,fick
consider,,tandis,one,от,vosotros,fin
considering,,tellement,oni,отовсюду,vosotras,finnas
contain,,tels,ono,особенно,si,finns
containing,,tes,owszem,нужно,dentro,fjärde
contains,,ton,po,очень,solo,fjorton
corresponding,,tous,pod,отсюда,solamente,fjortonde
could,,tout,ponieważ,в,saber,fler
couldn't,,trop,przed,во,sabes,flera
course,,très,przedtem,вон,sabe,flesta
currently,,tu,są,вниз,sabemos,följande
definitely,,voient,sam,внизу,sabeis,för
described,,vont,sama,вокруг,saben,före
despite,,votre,się,вот,ultimo,förlåt
did,,vous,skąd,восемнадцать,largo,förra
didn't,,vu,tak,восемнадцатый,bastante,första
different,,ça,taki,восемь,haces,fram
do,,étaient,tam,восьмой,muchos,framför
does,,état,ten,вверх,aquellos,från
doesn't,,étions,to,вам,aquellas,fyra
doing,,été,tobą,вами,sus,fyrtio
don't,,être,tobie,важное,entonces,fyrtionde
done,,,tu,важная,tiempo,gå
down,,,tutaj,важные,verdad,gälla
downwards,,,twoi,важный,verdadero,gäller
during,,,twój,вдали,verdadera,gällt
each,,,twoja,везде,cierto,går
edu,,,twoje,ведь,ciertos,gärna
eg,,,ty,вас,cierta,gått
eight,,,wam,ваш,ciertas,genast
either,,,wami,ваша,intentar,genom
else,,,was,ваше,intento,gick
elsewhere,,,wasi,ваши,intenta,gjorde
enough,,,wasz,впрочем,intentas,gjort
entirely,,,wasza,весь,intentamos,god
especially,,,wasze,вдруг,intentais,goda
et,,,we,вы,intentan,godare
etc,,,więc,все,dos,godast
even,,,wszystko,второй,bajo,gör
ever,,,wtedy,всем,arriba,göra
every,,,wy,всеми,encima,gott
everybody,,,żaden,времени,usar,ha
everyone,,,zawsze,время,uso,hade
everything,,,że,всему,usas,haft
everywhere,,,,всего,usa,han
ex,,,,всегда,usamos,hans
exactly,,,,всех,usais,har
example,,,,всею,usan,här
except,,,,всю,emplear,heller
far,,,,вся,empleo,hellre
few,,,,всё,empleas,helst
fifth,,,,всюду,emplean,helt
first,,,,г,ampleamos,henne
five,,,,год,empleais,hennes
followed,,,,говорил,valor,hit
following,,,,говорит,muy,hög
follows,,,,года,era,höger
for,,,,году,eras,högre
former,,,,где,eramos,högst
formerly,,,,да,eran,hon
forth,,,,ее,modo,honom
four,,,,за,bien,hundra
from,,,,из,cual,hundraen
further,,,,ли,cuando,hundraett
furthermore,,,,же,donde,hur
get,,,,им,mientras,i
gets,,,,до,quien,ibland
getting,,,,по,con,idag
given,,,,ими,entre,igår
gives,,,,под,sin,igen
go,,,,иногда,trabajo,imorgon
goes,,,,довольно,trabajar,in
going,,,,именно,trabajas,inför
gone,,,,долго,trabaja,inga
got,,,,позже,trabajamos,ingen
gotten,,,,более,trabajais,ingenting
greetings,,,,должно,trabajan,inget
had,,,,пожалуйста,podria,innan
hadn't,,,,значит,podrias,inne
happens,,,,иметь,podriamos,inom
hardly,,,,больше,podrian,inte
has,,,,пока,podriais,inuti
hasn't,,,,ему,yo,ja
have,,,,имя,aquel,jag
haven't,,,,пор,,jämfört
having,,,,пора,,kan
he,,,,потом,,kanske
he's,,,,потому,,knappast
hello,,,,после,,kom
help,,,,почему,,komma
hence,,,,почти,,kommer
her,,,,посреди,,kommit
here,,,,ей,,kr
here's,,,,два,,kunde
hereafter,,,,две,,kunna
hereby,,,,двенадцать,,kunnat
herein,,,,двенадцатый,,kvar
hereupon,,,,двадцать,,länge
hers,,,,двадцатый,,längre
herself,,,,двух,,långsam
hi,,,,его,,långsammare
him,,,,дел,,långsammast
himself,,,,или,,långsamt
his,,,,без,,längst
hither,,,,день,,långt
hopefully,,,,занят,,lätt
how,,,,занята,,lättare
howbeit,,,,занято,,lättast
however,,,,заняты,,legat
i'd,,,,действительно,,ligga
i'll,,,,давно,,ligger
i'm,,,,девятнадцать,,lika
i've,,,,девятнадцатый,,likställd
ie,,,,девять,,likställda
if,,,,девятый,,lilla
ignored,,,,даже,,lite
immediate,,,,алло,,liten
in,,,,жизнь,,litet
inasmuch,,,,далеко,,man
inc,,,,близко,,många
indeed,,,,здесь,,måste
indicate,,,,дальше,,med
indicated,,,,для,,mellan
indicates,,,,лет,,men
inner,,,,зато,,mer
insofar,,,,даром,,mera
instead,,,,первый,,mest
into,,,,перед,,mig
inward,,,,затем,,min
is,,,,зачем,,mina
isn't,,,,лишь,,mindre
it,,,,десять,,minst
it'd,,,,десятый,,mitt
it'll,,,,ею,,mittemot
it's,,,,её,,möjlig
its,,,,их,,möjligen
itself,,,,бы,,möjligt
just,,,,еще,,möjligtvis
keep,,,,при,,mot
keeps,,,,был,,mycket
kept,,,,про,,någon
know,,,,процентов,,någonting
knows,,,,против,,något
known,,,,просто,,några
last,,,,бывает,,när
lately,,,,бывь,,nästa
later,,,,если,,ned
latter,,,,люди,,nederst
latterly,,,,была,,nedersta
least,,,,были,,nedre
less,,,,было,,nej
lest,,,,будем,,ner
let,,,,будет,,ni
let's,,,,будете,,nio
like,,,,будешь,,nionde
liked,,,,прекрасно,,nittio
likely,,,,буду,,nittionde
little,,,,будь,,nitton
look,,,,будто,,nittonde
looking,,,,будут,,nödvändig
looks,,,,ещё,,nödvändiga
ltd,,,,пятнадцать,,nödvändigt
mainly,,,,пятнадцатый,,nödvändigtvis
many,,,,друго,,nog
may,,,,другое,,noll
maybe,,,,другой,,nr
me,,,,другие,,nu
mean,,,,другая,,nummer
meanwhile,,,,других,,och
merely,,,,есть,,också
might,,,,пять,,ofta
more,,,,быть,,oftast
moreover,,,,лучше,,olika
most,,,,пятый,,olikt
mostly,,,,к,,om
much,,,,ком,,oss
must,,,,конечно,,över
my,,,,кому,,övermorgon
myself,,,,кого,,överst
name,,,,когда,,övre
namely,,,,которой,,på
nd,,,,которого,,rakt
near,,,,которая,,rätt
nearly,,,,которые,,redan
necessary,,,,который,,så
need,,,,которых,,sade
needs,,,,кем,,säga
neither,,,,каждое,,säger
never,,,,каждая,,sagt
nevertheless,,,,каждые,,samma
new,,,,каждый,,sämre
next,,,,кажется,,sämst
nine,,,,как,,sedan
no,,,,какой,,senare
nobody,,,,какая,,senast
non,,,,кто,,sent
none,,,,кроме,,sex
noone,,,,куда,,sextio
nor,,,,кругом,,sextionde
normally,,,,с,,sexton
not,,,,т,,sextonde
nothing,,,,у,,sig
novel,,,,я,,sin
now,,,,та,,sina
nowhere,,,,те,,sist
obviously,,,,уж,,sista
of,,,,со,,siste
off,,,,то,,sitt
often,,,,том,,sjätte
oh,,,,снова,,sju
ok,,,,тому,,sjunde
okay,,,,совсем,,sjuttio
old,,,,того,,sjuttionde
on,,,,тогда,,sjutton
once,,,,тоже,,sjuttonde
one,,,,собой,,ska
ones,,,,тобой,,skall
only,,,,собою,,skulle
onto,,,,тобою,,slutligen
or,,,,сначала,,små
other,,,,только,,smått
others,,,,уметь,,snart
otherwise,,,,тот,,som
ought,,,,тою,,stor
our,,,,хорошо,,stora
ours,,,,хотеть,,större
ourselves,,,,хочешь,,störst
out,,,,хоть,,stort
outside,,,,хотя,,tack
over,,,,свое,,tidig
overall,,,,свои,,tidigare
own,,,,твой,,tidigast
particular,,,,своей,,tidigt
particularly,,,,своего,,till
per,,,,своих,,tills
perhaps,,,,свою,,tillsammans
placed,,,,твоя,,tio
please,,,,твоё,,tionde
plus,,,,раз,,tjugo
possible,,,,уже,,tjugoen
presumably,,,,сам,,tjugoett
probably,,,,там,,tjugonde
provides,,,,тем,,tjugotre
que,,,,чем,,tjugotvå
quite,,,,сама,,tjungo
qv,,,,сами,,tolfte
rather,,,,теми,,tolv
rd,,,,само,,tre
re,,,,рано,,tredje
really,,,,самом,,trettio
reasonably,,,,самому,,trettionde
regarding,,,,самой,,tretton
regardless,,,,самого,,trettonde
regards,,,,семнадцать,,två
relatively,,,,семнадцатый,,tvåhundra
respectively,,,,самим,,under
right,,,,самими,,upp
said,,,,самих,,ur
same,,,,саму,,ursäkt
saw,,,,семь,,ut
say,,,,чему,,utan
saying,,,,раньше,,utanför
says,,,,сейчас,,ute
second,,,,чего,,vad
secondly,,,,сегодня,,vänster
see,,,,себе,,vänstra
seeing,,,,тебе,,var
seem,,,,сеаой,,vår
seemed,,,,человек,,vara
seeming,,,,разве,,våra
seems,,,,теперь,,varför
seen,,,,себя,,varifrån
self,,,,тебя,,varit
selves,,,,седьмой,,varken
sensible,,,,спасибо,,värre
sent,,,,слишком,,varsågod
serious,,,,так,,vart
seriously,,,,такое,,vårt
seven,,,,такой,,vem
several,,,,такие,,vems
shall,,,,также,,verkligen
she,,,,такая,,vi
should,,,,сих,,vid
shouldn't,,,,тех,,vidare
since,,,,чаще,,viktig
six,,,,четвертый,,viktigare
so,,,,через,,viktigast
some,,,,часто,,viktigt
somebody,,,,шестой,,vilka
somehow,,,,шестнадцать,,vilken
someone,,,,шестнадцатый,,vilket
something,,,,шесть,,vill
sometime,,,,четыре,,
sometimes,,,,четырнадцать,,
somewhat,,,,четырнадцатый,,
somewhere,,,,сколько,,
soon,,,,сказал,,
sorry,,,,сказала,,
specified,,,,сказать,,
specify,,,,ту,,
specifying,,,,ты,,
still,,,,три,,
sub,,,,эта,,
such,,,,эти,,
sup,,,,что,,
sure,,,,это,,
t's,,,,чтоб,,
take,,,,этом,,
taken,,,,этому,,
tell,,,,этой,,
tends,,,,этого,,
th,,,,чтобы,,
than,,,,этот,,
thank,,,,стал,,
thanks,,,,туда,,
thanx,,,,этим,,
that,,,,этими,,
that's,,,,рядом,,
thats,,,,тринадцать,,
the,,,,тринадцатый,,
their,,,,этих,,
theirs,,,,третий,,
them,,,,тут,,
themselves,,,,эту,,
then,,,,суть,,
thence,,,,чуть,,
there,,,,тысяч,,
there's,,,,,,
thereafter,,,,,,
thereby,,,,,,
therefore,,,,,,
therein,,,,,,
theres,,,,,,
thereupon,,,,,,
these,,,,,,
they,,,,,,
they'd,,,,,,
they'll,,,,,,
they're,,,,,,
they've,,,,,,
think,,,,,,
third,,,,,,
this,,,,,,
thorough,,,,,,
thoroughly,,,,,,
those,,,,,,
though,,,,,,
three,,,,,,
through,,,,,,
throughout,,,,,,
thru,,,,,,
thus,,,,,,
to,,,,,,
together,,,,,,
too,,,,,,
took,,,,,,
toward,,,,,,
towards,,,,,,
tried,,,,,,
tries,,,,,,
truly,,,,,,
try,,,,,,
trying,,,,,,
twice,,,,,,
two,,,,,,
un,,,,,,
under,,,,,,
unfortunately,,,,,,
unless,,,,,,
unlikely,,,,,,
until,,,,,,
unto,,,,,,
up,,,,,,
upon,,,,,,
us,,,,,,
use,,,,,,
used,,,,,,
useful,,,,,,
uses,,,,,,
using,,,,,,
usually,,,,,,
value,,,,,,
various,,,,,,
very,,,,,,
via,,,,,,
viz,,,,,,
vs,,,,,,
want,,,,,,
wants,,,,,,
was,,,,,,
wasn't,,,,,,
way,,,,,,
we,,,,,,
we'd,,,,,,
we'll,,,,,,
we're,,,,,,
we've,,,,,,
welcome,,,,,,
well,,,,,,
went,,,,,,
were,,,,,,
weren't,,,,,,
what,,,,,,
what's,,,,,,
whatever,,,,,,
when,,,,,,
whence,,,,,,
whenever,,,,,,
where,,,,,,
where's,,,,,,
whereafter,,,,,,
whereas,,,,,,
whereby,,,,,,
wherein,,,,,,
whereupon,,,,,,
wherever,,,,,,
whether,,,,,,
which,,,,,,
while,,,,,,
whither,,,,,,
who,,,,,,
who's,,,,,,
whoever,,,,,,
whole,,,,,,
whom,,,,,,
whose,,,,,,
why,,,,,,
will,,,,,,
willing,,,,,,
wish,,,,,,
with,,,,,,
within,,,,,,
without,,,,,,
won't,,,,,,
wonder,,,,,,
would,,,,,,
would,,,,,,
wouldn't,,,,,,
yes,,,,,,
yet,,,,,,
you,,,,,,
you'd,,,,,,
you'll,,,,,,
you're,,,,,,
you've,,,,,,
your,,,,,,
yours,,,,,,
yourself,,,,,,
yourselves,,,,,,
zero,,,,,,
